Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
bmg2024bdmp,2024-01-17T03:18:50.945306Z,-6.876891613,104.9564438,3.531415139,MLv,27,36,213.3116913,"Sunda Strait, Indonesia",BMKG
bmg2024bayv,2024-01-15T18:04:27.485511Z,-6.053132534,104.3059769,2.758360804,MLv,29,25,215.9677505,"Sunda Strait, Indonesia",BMKG
bmg2024badf,2024-01-15T07:10:02.293344Z,-8.349815369,105.6743774,3.546044238,MLv,32,38,158.8369446,"South of Java, Indonesia",BMKG
bmg2024azel,2024-01-14T18:38:29.850832Z,-0.1064356118,100.3057022,2.001512321,MLv,12,18,93.31753922,"Southern Sumatra, Indonesia",BMKG
bmg2024azce,2024-01-14T17:29:26.077198Z,3.016297817,97.41946411,2.625705202,MLv,13,32,124.4265594,"Northern Sumatra, Indonesia",BMKG
bmg2024axgs,2024-01-13T17:30:58.095134Z,3.029625654,96.36611938,3.405186991,MLv,14,31,95.44406128,"Northern Sumatra, Indonesia",BMKG
bmg2024axdb,2024-01-13T15:39:55.889074Z,-1.374077559,99.08126068,2.833515926,MLv,11,8,153.1971893,"Southern Sumatra, Indonesia",BMKG
bmg2024axbx,2024-01-13T15:05:24.562047Z,2.519893646,96.30386353,3.122381335,MLv,15,34,140.8435669,"Northern Sumatra, Indonesia",BMKG
bmg2024awya,2024-01-13T13:07:09.312746Z,1.137212276,99.89768982,3.239405452,MLv,163,37,155.4169083,"Northern Sumatra, Indonesia",BMKG
bmg2024awwo,2024-01-13T12:22:55.420984Z,2.280439138,96.20217133,3.8878167,M,17,19,219.6578217,"Northern Sumatra, Indonesia",BMKG
bmg2024awre,2024-01-13T09:40:16.085334Z,3.78702569,97.55152893,3.435461333,M,121,54,116.7434893,"Northern Sumatra, Indonesia",BMKG
bmg2024avrw,2024-01-12T20:52:08.390041Z,-1.84997952,100.3932571,3.341527916,MLv,26,48,57.99710083,"Southern Sumatra, Indonesia",BMKG
bmg2024avfu,2024-01-12T14:46:28.407307Z,-5.600217819,103.6601105,3.393876388,MLv,35,26,208.4069214,"Southern Sumatra, Indonesia",BMKG
bmg2024avai,2024-01-12T12:01:44.217499Z,0.7736323476,97.19625854,3.781355397,MLv,22,59,193.0904541,"Northern Sumatra, Indonesia",BMKG
bmg2024ausc,2024-01-12T07:51:14.285203Z,-5.840443134,101.7841568,4.22826596,MLv,34,73,222.1536942,"Southwest of Sumatra, Indonesia",BMKG
bmg2024aupj,2024-01-12T06:29:23.73264Z,-2.327553988,101.0979309,3.514353328,MLv,54,43,80.02098083,"Southern Sumatra, Indonesia",BMKG
bmg2024atyd,2024-01-11T21:46:07.621284Z,-0.09749004245,98.73284912,3.106833951,MLv,12,29,67.34864807,"Southern Sumatra, Indonesia",BMKG
bmg2024atxl,2024-01-11T21:25:57.780163Z,-0.4451921284,100.3602905,2.294253984,MLv,10,17,121.2152405,"Southern Sumatra, Indonesia",BMKG
bmg2024atqs,2024-01-11T18:01:31.316338Z,-3.480274916,101.8957367,3.54150071,MLv,87,45,157.1911316,"Southern Sumatra, Indonesia",BMKG
bmg2024atln,2024-01-11T15:24:15.07638Z,5.027301788,95.84861755,3.196701522,MLv,10,18,92.43379974,"Northern Sumatra, Indonesia",BMKG
bmg2024atlj,2024-01-11T15:19:42.427514Z,0.3482225239,98.6490097,3.779760312,MLv,18,43,62.48193359,"Northern Sumatra, Indonesia",BMKG
bmg2024atbc,2024-01-11T10:08:29.476335Z,2.483355761,98.93539429,3.746634839,MLv,134,104,117.5474472,"Northern Sumatra, Indonesia",BMKG
bmg2024asql,2024-01-11T04:45:04.24438Z,-6.967778206,105.4295425,3.171137648,M,23,40,217.8510895,"Sunda Strait, Indonesia",BMKG
bmg2024asji,2024-01-11T01:10:09.862541Z,-5.566654205,103.228096,3.528914217,MLv,11,38,233.347908,"Southern Sumatra, Indonesia",BMKG
bmg2024ardx,2024-01-10T09:16:32.102857Z,-3.397809744,102.3951416,3.425377811,MLv,10,35,85.74563599,"Southern Sumatra, Indonesia",BMKG
bmg2024aqny,2024-01-10T01:12:46.970294Z,0.2127130032,96.63396454,4.722246565,MLv,10,66,216.4359589,Off West Coast of Northern Sumatra,BMKG
bmg2024aqkg,2024-01-09T23:21:07.258645Z,0.171538353,98.577034,2.878186174,MLv,22,24,77.40998077,"Northern Sumatra, Indonesia",BMKG
